Scenario 1 ===============================================================>

Python binary: /home/chaurasi/semesterproject/venvs/venv-graph1/bin/python
Python version: Python 3.10.4
2.8.0+cu128
12.8
True
Training Examples: 412, Val Examples: 40, Test Examples: 48
Elapsed time: 1788.7766 seconds
412
torch.Size([329500, 14])
torch.Size([129900, 14])
torch.Size([172400, 14])
Step 111, Batch Loss: 0.0978, Graph Shape: torch.Size([419300, 14]), target shape: torch.Size([4193, 1])
Step 112, Batch Loss: 0.1022, Graph Shape: torch.Size([419100, 14]), target shape: torch.Size([4191, 1])
Step 113, Batch Loss: 0.1629, Graph Shape: torch.Size([154500, 14]), target shape: torch.Size([1545, 1])
Step 114, Batch Loss: 0.1084, Graph Shape: torch.Size([154500, 14]), target shape: torch.Size([1545, 1])
Step 115, Batch Loss: 0.1380, Graph Shape: torch.Size([153500, 14]), target shape: torch.Size([1535, 1])
Step 116, Batch Loss: 0.0954, Graph Shape: torch.Size([153900, 14]), target shape: torch.Size([1539, 1])
Step 117, Batch Loss: 0.1865, Graph Shape: torch.Size([154400, 14]), target shape: torch.Size([1544, 1])
Step 118, Batch Loss: 0.0876, Graph Shape: torch.Size([419200, 14]), target shape: torch.Size([4192, 1])
Step 119, Batch Loss: 0.2053, Graph Shape: torch.Size([220300, 14]), target shape: torch.Size([2203, 1])
Step 120, Batch Loss: 0.3248, Graph Shape: torch.Size([221200, 14]), target shape: torch.Size([2212, 1])
Step 121, Batch Loss: 0.1199, Graph Shape: torch.Size([135800, 14]), target shape: torch.Size([1358, 1])
Step 122, Batch Loss: 0.0949, Graph Shape: torch.Size([419200, 14]), target shape: torch.Size([4192, 1])
Step 123, Batch Loss: 0.1197, Graph Shape: torch.Size([231400, 14]), target shape: torch.Size([2314, 1])
Step 124, Batch Loss: 0.4506, Graph Shape: torch.Size([233300, 14]), target shape: torch.Size([2333, 1])
Step 125, Batch Loss: 0.1080, Graph Shape: torch.Size([226700, 14]), target shape: torch.Size([2267, 1])
Step 126, Batch Loss: 0.2191, Graph Shape: torch.Size([52900, 14]), target shape: torch.Size([529, 1])
Step 127, Batch Loss: 0.1079, Graph Shape: torch.Size([206700, 14]), target shape: torch.Size([2067, 1])
Step 128, Batch Loss: 0.7164, Graph Shape: torch.Size([360600, 14]), target shape: torch.Size([3606, 1])
Step 129, Batch Loss: 0.1046, Graph Shape: torch.Size([225100, 14]), target shape: torch.Size([2251, 1])
Step 130, Batch Loss: 0.1442, Graph Shape: torch.Size([154100, 14]), target shape: torch.Size([1541, 1])
Step 131, Batch Loss: 0.1185, Graph Shape: torch.Size([154100, 14]), target shape: torch.Size([1541, 1])
Step 132, Batch Loss: 0.0972, Graph Shape: torch.Size([153900, 14]), target shape: torch.Size([1539, 1])
Step 133, Batch Loss: 0.1519, Graph Shape: torch.Size([168300, 14]), target shape: torch.Size([1683, 1])
Step 134, Batch Loss: 0.1135, Graph Shape: torch.Size([342900, 14]), target shape: torch.Size([3429, 1])
Step 135, Batch Loss: 0.1903, Graph Shape: torch.Size([89100, 14]), target shape: torch.Size([891, 1])
Step 136, Batch Loss: 0.1660, Graph Shape: torch.Size([231300, 14]), target shape: torch.Size([2313, 1])
Step 137, Batch Loss: 0.1713, Graph Shape: torch.Size([518800, 14]), target shape: torch.Size([5188, 1])
Step 138, Batch Loss: 0.2006, Graph Shape: torch.Size([518600, 14]), target shape: torch.Size([5186, 1])
Step 139, Batch Loss: 0.2984, Graph Shape: torch.Size([275200, 14]), target shape: torch.Size([2752, 1])
Step 140, Batch Loss: 0.0878, Graph Shape: torch.Size([164900, 14]), target shape: torch.Size([1649, 1])
Step 141, Batch Loss: 0.1136, Graph Shape: torch.Size([165500, 14]), target shape: torch.Size([1655, 1])
Step 142, Batch Loss: 0.1321, Graph Shape: torch.Size([86400, 14]), target shape: torch.Size([864, 1])
Step 143, Batch Loss: 0.8467, Graph Shape: torch.Size([170600, 14]), target shape: torch.Size([1706, 1])
Step 144, Batch Loss: 0.1757, Graph Shape: torch.Size([285600, 14]), target shape: torch.Size([2856, 1])
Step 145, Batch Loss: 0.1774, Graph Shape: torch.Size([285900, 14]), target shape: torch.Size([2859, 1])
Step 146, Batch Loss: 0.2417, Graph Shape: torch.Size([86700, 14]), target shape: torch.Size([867, 1])
Step 147, Batch Loss: 1.2827, Graph Shape: torch.Size([140300, 14]), target shape: torch.Size([1403, 1])
Step 148, Batch Loss: 0.1191, Graph Shape: torch.Size([354800, 14]), target shape: torch.Size([3548, 1])
Step 149, Batch Loss: 0.1410, Graph Shape: torch.Size([185900, 14]), target shape: torch.Size([1859, 1])
